Datetime,Speed,Surface Temperature (°C) Surface site 1,Surface State Surface site 1,Air Temperature (°C) Atmospheric site,Dew Point Temperature (°C) Atmospheric site,Level of grip Surface site 1,Water Layer (mm) Surface site 1,Ice Layer (mm) Surface site 1,Snow Layer (water equivalent) (mm) Surface site 1,Relative Humidity (%) Atmospheric site,Rain State Atmospheric site,Rain Intensity (mm/h) Atmospheric site,Wind Speed (m/s) Atmospheric site,Wind Direction (°) Atmospheric site,Visibility (m) Atmospheric site,"Precipitation, Rolling Average (past 1 hour) (mm) Atmospheric site","Precipitation, Rolling Average (past 3 hours) (mm) Atmospheric site","Precipitation, Rolling Average (past 6 hours) (mm) Atmospheric site","Precipitation, Rolling Average (past 12 hours) (mm) Atmospheric site","Precipitation, Rolling Average (past 24 hours) (mm) Atmospheric site",Alarm Status Surface site 1,Rain on/off Atmospheric site,"Wind Direction, near instantaneous value (Spot Direction) (°) Atmospheric site","Wind Speed, near-instantaneous value (Spot Speed) (m/s) Atmospheric site",Max Wind Speed (m/s) Atmospheric site
00:00:00,59.32496376362433,-3.5,1,-2.8,-5.7,0.82,0.04,0.0,0.0,81,0.0,0.0,2.7,78,2000,0.0,0.0,0.0,0.0,0.0,1,0,47,3.0,6.7
00:10:00,60.40223878901666,-3.5,1,-2.8,-6.0,0.82,0.04,0.0,0.0,79,0.0,0.0,3.1,72,2000,0.0,0.0,0.0,0.0,0.0,1,0,82,3.2,8.8
00:20:00,59.937286815761766,-3.5,1,-2.9,-6.2,0.82,0.04,0.0,0.0,78,0.0,0.0,2.9,64,2000,0.0,0.0,0.0,0.0,0.0,1,0,48,1.8,7.4
00:30:00,58.56511890623608,-3.6,1,-2.9,-6.4,0.82,0.04,0.0,0.0,77,0.0,0.0,2.8,73,2000,0.0,0.0,0.0,0.0,0.0,1,0,74,2.7,5.2
00:40:00,63.17875555914221,-3.6,1,-2.9,-6.6,0.82,0.04,0.0,0.0,76,0.0,0.0,2.6,66,2000,0.0,0.0,0.0,0.0,0.0,1,0,69,1.7,6.5
00:50:00,60.37761985965373,-3.6,1,-3.0,-6.6,0.82,0.04,0.0,0.0,76,0.0,0.0,3.6,69,2000,0.0,0.0,0.0,0.0,0.0,1,0,64,4.4,7.2
01:00:00,59.33173692348523,-3.5,1,-3.0,-6.7,0.82,0.04,0.0,0.0,76,0.0,0.0,2.3,68,2000,0.0,0.0,0.0,0.0,0.0,1,0,60,1.4,5.2
01:10:00,59.04345049721268,-3.6,1,-3.0,-6.7,0.82,0.04,0.0,0.0,76,0.0,0.0,3.0,63,2000,0.0,0.0,0.0,0.0,0.0,1,0,65,1.9,6.9
01:20:00,60.01123315526695,-3.6,1,-3.1,-6.7,0.82,0.04,0.0,0.0,76,0.0,0.0,2.6,64,2000,0.0,0.0,0.0,0.0,0.0,1,0,72,3.6,6.8
01:30:00,58.91789386068182,-3.6,2,-3.1,-6.7,0.82,0.05,0.0,0.0,77,0.0,0.0,2.7,70,2000,0.0,0.0,0.0,0.0,0.0,1,0,63,2.2,7.3
01:40:00,61.1511425208717,-3.7,2,-3.2,-6.7,0.82,0.05,0.0,0.0,77,0.0,0.0,2.4,76,2000,0.0,0.0,0.0,0.0,0.0,1,0,59,1.8,5.2
01:50:00,61.57222336900412,-3.8,2,-3.3,-6.7,0.82,0.05,0.0,0.0,78,0.0,0.0,2.1,72,2000,0.0,0.0,0.0,0.0,0.0,1,0,106,1.1,6.1
02:00:00,62.00560840650584,-3.8,2,-3.3,-6.7,0.82,0.05,0.0,0.0,78,0.0,0.0,2.2,75,2000,0.0,0.0,0.0,0.0,0.0,1,0,99,1.3,4.5
02:10:00,60.37025399168279,-3.8,2,-3.3,-6.6,0.82,0.05,0.0,0.0,78,0.0,0.0,2.4,72,2000,0.0,0.0,0.0,0.0,0.0,1,0,67,1.4,4.6
02:20:00,59.40932883401084,-3.7,2,-3.2,-6.7,0.82,0.05,0.0,0.0,77,0.0,0.0,2.5,66,2000,0.0,0.0,0.0,0.0,0.0,1,0,47,2.4,5.5
02:30:00,60.53965762810077,-3.7,2,-3.2,-6.7,0.82,0.05,0.0,0.0,77,0.0,0.0,1.9,67,2000,0.0,0.0,0.0,0.0,0.0,1,0,67,2.1,5.8
02:40:00,61.3138844486403,-3.6,2,-3.1,-6.7,0.82,0.05,0.0,0.0,76,0.0,0.0,2.5,67,2000,0.0,0.0,0.0,0.0,0.0,1,0,57,4.3,4.7
02:50:00,60.0628268516129,-3.6,2,-3.1,-6.8,0.82,0.05,0.0,0.0,76,0.0,0.0,2.6,68,2000,0.0,0.0,0.0,0.0,0.0,1,0,45,3.7,6.2
03:00:00,58.56337602194631,-3.6,2,-3.1,-6.8,0.82,0.05,0.0,0.0,76,0.0,0.0,2.3,69,2000,0.0,0.0,0.0,0.0,0.0,1,0,66,2.3,5.1
03:10:00,59.42312628082901,-3.6,2,-3.1,-6.8,0.82,0.05,0.0,0.0,76,0.0,0.0,2.3,68,2000,0.0,0.0,0.0,0.0,0.0,1,0,82,1.3,5.8
03:20:00,60.767495045374446,-3.6,2,-3.2,-6.8,0.81,0.05,0.0,0.0,76,0.0,0.0,3.1,69,2000,0.0,0.0,0.0,0.0,0.0,1,0,84,3.4,6.3
03:30:00,60.75150506375592,-3.6,2,-3.2,-6.7,0.81,0.05,0.0,0.0,77,0.0,0.0,2.7,73,2000,0.0,0.0,0.0,0.0,0.0,1,0,70,2.3,5.7
03:40:00,60.92230671700041,-3.5,2,-3.1,-6.7,0.81,0.05,0.0,0.0,77,0.0,0.0,3.1,69,2000,0.0,0.0,0.0,0.0,0.0,1,0,40,1.8,6.5
03:50:00,60.66909945900504,-3.6,2,-3.2,-6.7,0.81,0.05,0.0,0.0,77,0.0,0.0,2.9,68,2000,0.0,0.0,0.0,0.0,0.0,1,0,81,2.2,7.8
04:00:00,58.277801221836455,-3.6,2,-3.2,-6.6,0.81,0.05,0.0,0.0,77,0.0,0.0,2.5,66,2000,0.0,0.0,0.0,0.0,0.0,1,0,98,3.4,7.2
04:10:00,59.4424491252537,-3.5,2,-3.0,-6.7,0.81,0.05,0.0,0.0,76,0.0,0.0,3.3,67,2000,0.0,0.0,0.0,0.0,0.0,1,0,59,3.0,7.5
