Datetime,Speed,Surface Temperature (°C) Surface site 1,Surface State Surface site 1,Air Temperature (°C) Atmospheric site,Dew Point Temperature (°C) Atmospheric site,Level of grip Surface site 1,Water Layer (mm) Surface site 1,Ice Layer (mm) Surface site 1,Snow Layer (water equivalent) (mm) Surface site 1,Relative Humidity (%) Atmospheric site,Rain State Atmospheric site,Rain Intensity (mm/h) Atmospheric site,Wind Speed (m/s) Atmospheric site,Wind Direction (°) Atmospheric site,Visibility (m) Atmospheric site,"Precipitation, Rolling Average (past 1 hour) (mm) Atmospheric site","Precipitation, Rolling Average (past 3 hours) (mm) Atmospheric site","Precipitation, Rolling Average (past 6 hours) (mm) Atmospheric site","Precipitation, Rolling Average (past 12 hours) (mm) Atmospheric site","Precipitation, Rolling Average (past 24 hours) (mm) Atmospheric site",Alarm Status Surface site 1,Rain on/off Atmospheric site,"Wind Direction, near instantaneous value (Spot Direction) (°) Atmospheric site","Wind Speed, near-instantaneous value (Spot Speed) (m/s) Atmospheric site",Max Wind Speed (m/s) Atmospheric site
00:00:00,59.52747195272727,-2.2,2,-1.4,-7.3,0.81,0.06,0,0,64,0,0,3.0,320,2000,0,0,0.4,0.7,1.4,0,0,302,2.9,8.3
00:10:00,59.499249352201744,-2.4,2,-1.5,-7.5,0.81,0.06,0,0,64,0,0,2.9,314,2000,0,0,0.4,0.7,1.4,0,0,320,2.6,8.1
00:20:00,58.40009990519787,-2.6,2,-1.5,-7.8,0.81,0.06,0,0,63,0,0,3.5,320,2000,0,0,0.4,0.6,1.3,0,0,301,2.6,8.2
00:30:00,60.32974256322208,-2.7,2,-1.6,-7.9,0.81,0.06,0,0,63,0,0,3.1,317,2000,0,0,0.4,0.6,1.3,0,0,330,4.1,7.3
00:40:00,60.98945834003984,-2.8,2,-1.6,-8.4,0.81,0.06,0,0,60,0,0,3.0,327,2000,0,0,0.4,0.6,1.3,0,0,332,2.2,8.1
00:50:00,59.11440528829407,-3.0,2,-1.6,-8.8,0.81,0.06,0,0,58,0,0,3.1,329,2000,0,0,0.3,0.6,1.3,0,0,333,2.1,7.0
01:00:00,60.32209764852165,-3.1,2,-1.7,-9.1,0.81,0.06,0,0,57,0,0,3.2,322,2000,0,0,0.3,0.6,1.3,0,0,293,3.7,7.6
01:10:00,59.81033787257002,-3.3,2,-1.7,-9.3,0.81,0.06,0,0,56,0,0,4.3,321,2000,0,0,0.3,0.6,1.3,0,0,319,2.8,7.7
01:20:00,61.12816767263581,-3.4,2,-1.8,-9.6,0.81,0.06,0,0,55,0,0,2.5,344,2000,0,0,0.3,0.6,1.3,0,0,18,0.8,6.5
01:30:00,60.33028190822737,-3.4,2,-1.8,-10.1,0.81,0.05,0,0,53,0,0,2.8,325,2000,0,0,0.3,0.6,1.3,0,0,264,3.9,7.6
01:40:00,60.87376875337078,-3.6,2,-2.0,-10.4,0.81,0.06,0,0,53,0,0,1.9,329,2000,0,0,0.3,0.6,1.3,0,0,264,1.5,8.6
01:50:00,62.67163710416666,-3.7,2,-2.2,-10.5,0.81,0.05,0,0,53,0,0,2.6,335,2000,0,0,0.3,0.6,1.3,0,0,269,2.7,7.2
02:00:00,61.06210281852473,-3.8,2,-2.3,-10.7,0.81,0.05,0,0,53,0,0,2.1,343,2000,0,0,0.3,0.6,1.3,0,0,310,1.3,6.6
02:10:00,58.178554887389865,-3.9,2,-2.3,-10.7,0.81,0.05,0,0,53,0,0,1.5,337,2000,0,0,0.3,0.6,1.3,0,0,330,0.5,7.5
02:20:00,61.64037378090413,-3.9,2,-2.4,-10.7,0.81,0.05,0,0,53,0,0,2.8,327,2000,0,0,0.2,0.6,1.3,0,0,312,4.1,7.6
02:30:00,58.9260405071256,-4.0,2,-2.5,-10.7,0.82,0.05,0,0,53,0,0,3.1,326,2000,0,0,0.2,0.6,1.3,0,0,322,3.7,6.8
02:40:00,59.36124482831594,-4.1,2,-2.6,-10.8,0.82,0.05,0,0,53,0,0,2.3,327,2000,0,0,0.1,0.6,1.3,0,0,324,4.3,8.3
02:50:00,57.64272284481482,-4.2,2,-2.6,-10.9,0.82,0.05,0,0,53,0,0,2.7,320,2000,0,0,0.0,0.6,1.3,0,0,334,2.2,9.4
03:00:00,59.50068580951087,-4.3,2,-2.8,-11.0,0.82,0.05,0,0,53,0,0,2.5,332,2000,0,0,0.0,0.6,1.3,0,0,335,2.1,6.1
03:10:00,60.23228498603659,-4.4,2,-2.9,-11.1,0.82,0.05,0,0,53,0,0,2.5,325,2000,0,0,0.0,0.6,1.3,0,0,324,5.2,6.9
03:20:00,58.38459095357143,-4.5,2,-2.9,-11.3,0.82,0.05,0,0,53,0,0,3.1,321,2000,0,0,0.0,0.6,1.3,0,0,318,3.3,7.3
03:30:00,59.57920484173343,-4.5,2,-3.1,-11.4,0.82,0.05,0,0,53,0,0,2.6,318,2000,0,0,0.0,0.5,1.3,0,0,326,4.0,7.3
